customer_id,age,gender,tenure_months,monthly_charges,total_charges,contract_type,internet_service,tech_support,streaming_tv,payment_method,num_support_tickets,avg_monthly_usage_gb,churn
1001,34,Female,12,65.3,783.6,Month-to-month,Fiber optic,No,Yes,Credit card,3,120,Yes
1002,45,Male,48,89.9,4315.2,Two year,Fiber optic,Yes,Yes,Bank transfer,1,210,No
1003,29,Female,6,55.1,330.6,Month-to-month,DSL,No,No,Electronic check,4,80,Yes
1004,52,Male,72,70.25,5058.0,Two year,DSL,Yes,Yes,Credit card,0,95,No
1005,41,Female,24,99.99,2399.76,One year,Fiber optic,Yes,Yes,Bank transfer,2,250,No
1006,37,Male,18,45.0,810.0,Month-to-month,DSL,No,No,Electronic check,5,60,Yes
1007,31,Female,36,75.4,2714.4,One year,Fiber optic,Yes,Yes,Credit card,1,180,No
1008,28,Male,4,59.2,236.8,Month-to-month,DSL,No,No,Electronic check,6,70,Yes
1009,60,Female,84,85.75,7203.0,Two year,Fiber optic,Yes,Yes,Bank transfer,0,220,No
1010,47,Male,30,64.1,1923.0,One year,DSL,Yes,No,Credit card,2,110,No
1011,26,Female,8,52.0,416.0,Month-to-month,DSL,No,No,Electronic check,4,75,Yes
1012,39,Male,60,90.4,5424.0,Two year,Fiber optic,Yes,Yes,Bank transfer,1,240,No
1013,33,Female,14,67.3,942.2,Month-to-month,Fiber optic,No,Yes,Electronic check,3,150,Yes
1014,50,Male,48,72.8,3494.4,One year,DSL,Yes,Yes,Credit card,1,130,No
1015,27,Female,3,49.99,149.97,Month-to-month,DSL,No,No,Electronic check,7,65,Yes
1016,44,Male,36,88.2,3175.2,One year,Fiber optic,Yes,Yes,Bank transfer,1,200,No
1017,36,Female,20,59.7,1194.0,Month-to-month,DSL,No,No,Credit card,3,90,Yes
1018,55,Male,72,91.5,6588.0,Two year,Fiber optic,Yes,Yes,Bank transfer,0,230,No
1019,42,Female,28,74.3,2080.4,One year,Fiber optic,Yes,Yes,Credit card,2,170,No
1020,30,Male,10,57.6,576.0,Month-to-month,DSL,No,No,Electronic check,5,85,Yes
